symbol,ex_date,weight,price,dividend,impure_ratio,purification_amount,nav_frac,covered
ETN,2020-11-05,0.004909240498560854,100.07463836669922,0.73,,,,False
INTC,2020-11-05,0.02173993691966573,41.295867919921875,0.33,0.006711595914680748,0.002214826651844647,1.165980862600264e-06,True
NSC,2020-11-05,0.0061723228620232246,200.92971801757812,0.94,,,,False
PFE,2020-11-05,0.0218626223606423,25.725183486938477,0.360531,0.004367149758454107,0.0015744928695652174,1.3380873661914147e-06,True
AAPL,2020-11-06,0.09999999999999998,115.22541809082031,0.205,0.013707811959273628,0.0028101014516510934,2.4387860753398866e-06,True
ROL,2020-11-09,0.0014451904072352124,35.250755310058594,0.14,,,,False
IVZ,2020-11-10,0.0006801141123914193,11.535131454467773,0.155,0.004658841991695819,0.0007221205087128519,4.257639808973826e-08,True
RMD,2020-11-10,0.0031826496079633794,201.58897399902344,0.39,0.00034528086281663287,0.00013465953649848683,2.1259799707473864e-09,True
HON,2020-11-12,0.013269063866654053,173.71401977539062,0.919278,0.006946525375248576,0.006385787953907761,4.877754156450419e-07,True
MSCI,2020-11-12,0.0033949449227356067,365.9257507324219,0.78,0.010529620052946598,0.008213103641298347,7.619861256311592e-08,True
AMGN,2020-11-13,0.014682984762259835,198.71768188476562,1.6,,,,False
CHD,2020-11-13,0.002550171358377753,81.58030700683594,0.24,,,,False
ROK,2020-11-13,0.003139748947285829,217.9683837890625,1.07,0.0016580032263846568,0.001774063452231583,2.555468715110912e-08,True
TECH,2020-11-13,0.0002776966920812843,73.83203887939453,0.08,,,,False
AMAT,2020-11-18,0.006209127675530084,72.24583435058594,0.22,,,,False
MSFT,2020-11-18,0.09999999999999998,201.2628173828125,0.56,,,,False
SWKS,2020-11-18,0.00275048388828566,118.41996765136719,0.5,,,,False
HSY,2020-11-19,0.003285197300501732,129.7504119873047,0.804,0.0010013458127792613,0.0008050820334745261,2.0384161271963758e-08,True
MMM,2020-11-19,0.00880402017639659,117.68199920654297,1.229097,0.0024894199651481204,0.0030597386109036595,2.2890502070428605e-07,True
MCO,2020-11-20,0.005764736593080934,260.0322265625,0.56,0.003520397597846345,0.0019714226547939535,4.370509174480301e-08,True
JNJ,2020-11-23,0.04212050518133844,122.84414672851562,1.01,0.00435052827843381,0.004394033561218148,1.5066156451986807e-06,True
SPGI,2020-11-24,0.008526043616511016,301.2334289550781,0.633869,,,,False
TER,2020-11-24,0.0016730717496649331,106.68414306640625,0.1,0.037859925150843965,0.0037859925150843968,5.937374514493503e-08,True
CBOE,2020-11-27,0.0010294588316291865,85.3700942993164,0.42,0.0007611874524257842,0.00031969873001882934,3.8551753255021785e-09,True
FDS,2020-11-27,0.0013339915212076969,303.6058044433594,0.77,,,,False
UNP,2020-11-27,0.014034658806453196,181.12509155273438,0.97,0.0014741109268472453,0.0014298875990418278,1.1079627020250716e-07,True
EBAY,2020-11-30,0.004235843920697816,45.793155670166016,0.16,0.011111111111111112,0.0017777777777777779,1.6444355236382366e-07,True
KO,2020-11-30,0.023489173738604603,43.548095703125,0.41,0.015107604787205495,0.006194117962754253,3.3410120611566853e-06,True
MCD,2020-11-30,0.01755019781078186,190.2491455078125,1.29,,,,False
JKHY,2020-12-01,0.0013058830647088007,149.88934326171875,0.43,0.0006699794410002669,0.00028809115963011477,2.509940722045783e-09,True
QCOM,2020-12-02,0.017563853258842632,132.59336853027344,0.65,0.006629552505205898,0.004309209128383834,5.708152498993062e-07,True
ADI,2020-12-03,0.005422496641072343,126.92790222167969,0.62,0.0007683307109548789,0.0004763650407920249,2.0350827425696203e-08,True
WM,2020-12-03,0.005333742855998755,106.90799713134766,0.545,,,,False
AME,2020-12-04,0.0028654397403202287,112.58470916748047,0.18,,,,False
CME,2020-12-09,0.006616423025269127,143.89364624023438,0.85,,,,False
NEM,2020-12-10,0.005015038706943008,50.21387481689453,0.4,0.005852156057494866,0.0023408624229979465,2.337902761292845e-07,True
GILD,2020-12-14,0.008104861506586415,48.514766693115234,0.68,,,,False
GRMN,2020-12-14,0.0023493667261677313,103.90906524658203,0.61,0.014084477589468262,0.00859153132957564,1.9425309798171406e-07,True
MRK,2020-12-14,0.020883263272369296,64.0692367553711,0.620229,0.005849701110162255,0.0036281542698548253,1.1825909695076445e-06,True
MSI,2020-12-14,0.0030860458806657542,154.85179138183594,0.71,,,,False
NXPI,2020-12-14,0.004779459425538838,143.33338928222656,0.375,,,,False
TMO,2020-12-14,0.019773212796284034,459.76715087890625,0.22,0.008769869234985513,0.001929371231696813,8.297649767809889e-08,True
TROW,2020-12-14,0.0035594305617276402,114.1960678100586,0.9,,,,False
VRSK,2020-12-14,0.003414289790774837,187.15325927734375,0.27,,,,False
ALLE,2020-12-15,0.0011347673079255903,103.46279907226562,0.32,0.0006306937631394534,0.00020182200420462509,2.213559022615127e-09,True
ICE,2020-12-15,0.006167956571550686,103.02623748779297,0.3,,,,False
GPN,2020-12-16,0.006183625608958017,184.53883361816406,0.195,0.0063952953362981105,0.0012470825905781316,4.178790822716895e-08,True
NDSN,2020-12-17,0.0012387563046572182,184.51544189453125,0.39,0.0008403874532523086,0.00032775110676840037,2.2003781672636817e-09,True
MDT,2020-12-21,0.016089825752606136,96.87702178955078,0.58,,,,False
AMT,2020-12-24,0.010804921329224063,185.16539001464844,1.21,,,,False
CME,2020-12-24,0.006616423025269127,142.79617309570312,2.5,,,,False
DHR,2020-12-24,0.014614828142812071,191.28781127929688,0.159574,0.007760550719944615,0.0012383821205844418,9.461523840140056e-08,True
ZBH,2020-12-24,0.0031577450943619098,138.35189819335938,0.23301,,,,False
ITW,2020-12-30,0.007123345716302333,177.86184692382812,1.14,0.0020554256148557657,0.0023431852009355727,9.384428730651678e-08,True
MPWR,2020-12-30,0.0014725817752084204,346.67193603515625,0.5,,,,False
A,2021-01-04,0.0037403743600531963,114.1791000366211,0.194,0.0014984079415620902,0.0002906911406630455,9.522703269529543e-09,True
CSCO,2021-01-04,0.019559757079541915,37.68980407714844,0.36,0.01866087908967364,0.00671791647228251,3.486375625872998e-06,True
ORCL,2021-01-06,0.020467410343900296,58.025535583496094,0.24,0.01348930070646053,0.003237432169550527,1.1419429740443543e-06,True
NTAP,2021-01-07,0.0014964988166712818,57.49366760253906,0.48,0.008869179600886918,0.004257206208425721,1.1081053477537012e-07,True
INTU,2021-01-08,0.010256382026728699,360.0964660644531,0.59,,,,False
ACN,2021-01-13,0.017455836786106883,235.25732421875,0.88,0.0015640792068245298,0.0013763897020055863,1.0212661421732233e-07,True
IEX,2021-01-13,0.0015710915499872091,189.30633544921875,0.5,,,,False
ABT,2021-01-14,0.020116402651726376,99.10032653808594,0.45,0.0029463390170511535,0.001325852557673019,2.6913517683235335e-07,True
